,Presion,Temperatura,HR,RapViento,O3,CO,PM25,PM10,SO2,DoY,DoW,Presion_forecast,Temperatura_forecast,HR_forecast,RapViento_forecast,DoY_forecast,DoW_forecast
2022-06-11,973.5457083333334,-1.5143875416666666,79.51061666666666,0.43131775833333336,1.4583333333333333,4.714166666666666,358.2916666666667,359.4166666666667,1.5979166666666667,162.0,6.0,969.0800416666666,-0.104333875,77.7516,0.5876162500000001,163.0,7.0
2022-06-12,969.0800416666666,-0.104333875,77.7516,0.5876162500000001,1.2916666666666667,3.605,257.9583333333333,258.9583333333333,1.3825,163.0,7.0,966.6135416666666,4.476912083333333,84.15677916666667,0.6804545416666666,164.0,1.0
2022-06-13,966.6135416666666,4.476912083333333,84.15677916666667,0.6804545416666666,1.9583333333333333,2.0279166666666666,128.75,130.20833333333334,1.1175,164.0,1.0,972.5350833333333,3.8894947083333338,84.84934583333333,0.7500055416666668,165.0,2.0
2022-06-14,972.5350833333333,3.8894947083333338,84.84934583333333,0.7500055416666668,2.932327025534114,2.620706355573383,176.0,177.375,1.2808333333333333,165.0,2.0,976.4587499999999,4.0781811249999995,80.31205833333333,1.6774270416666666,166.0,3.0
2022-06-15,976.4587499999999,4.0781811249999995,80.31205833333333,1.6774270416666666,4.708333333333333,1.3483333333333334,74.79166666666667,76.58333333333333,1.0362500000000001,166.0,3.0,968.179,4.139795416666667,67.49162916666667,3.8352533333333336,167.0,4.0
2022-06-16,968.179,4.139795416666667,67.49162916666667,3.8352533333333336,12.625,0.5858333333333333,30.583333333333332,33.5,1.0008333333333332,167.0,4.0,974.133125,2.9210204166666665,67.66780833333333,4.555616666666666,168.0,5.0
2022-06-17,974.133125,2.9210204166666665,67.66780833333333,4.555616666666666,14.541666666666666,0.4679166666666667,23.041666666666668,24.583333333333332,1.0,168.0,5.0,968.5202083333334,3.2392675,75.06847916666666,1.9485499166666667,169.0,6.0
2022-06-18,968.5202083333334,3.2392675,75.06847916666666,1.9485499166666667,12.791666666666666,0.7949999999999999,46.416666666666664,48.666666666666664,1.0075,169.0,6.0,973.2609583333333,1.3167217083333334,69.4956875,1.8755377500000001,170.0,7.0
2022-06-19,973.2609583333333,1.3167217083333334,69.4956875,1.8755377500000001,10.75,0.8720833333333333,48.875,49.916666666666664,1.0,170.0,7.0,977.1207083333334,0.9842744583333333,70.47331666666666,1.0931946916666666,171.0,1.0
2022-06-20,977.1207083333334,0.9842744583333333,70.47331666666666,1.0931946916666666,9.083333333333334,1.7920833333333333,132.29166666666666,133.66666666666666,1.1566666666666665,171.0,1.0,984.97525,-2.6878502500000003,74.87417083333334,0.7531340833333333,172.0,2.0
