FECHA (YYMMDD);HORA (HHMM);;
131110;1500;;
131110;1600;;
131110;1700;;
131110;1800;;
131110;1900;;
131110;2000;;
131110;2100;;
131110;2200;;
131110;2300;;
131111;0000;;
131111;0100;;
131111;0200;;
131111;0300;;
131111;0400;;
131111;0500;;
131111;0600;;
131111;0700;;
131111;0800;;
131111;0900;;
131111;1000;;
131111;1100;;
131111;1200;;
131111;1300;;
131111;1400;;
131111;1500;;
131111;1600;;
131111;1700;;
131111;1800;;
131111;1900;;
131111;2000;;
131111;2100;;
131111;2200;;
131111;2300;;
131112;0000;;
131112;0100;;
131112;0200;;
131112;0300;;
131112;0400;;
131112;0500;;
131112;0600;;
131112;0700;;
131112;0800;;
131112;0900;;
131112;1000;;
131112;1100;;
131112;1200;;
131112;1300;;
131112;1400;;
131112;1500;;
131112;1600;;
131112;1700;;
131112;1800;;
131112;1900;;
131112;2000;;
131112;2100;;
131112;2200;;
131112;2300;;
131113;0000;;
131113;0100;;
131113;0200;;
131113;0300;;
131113;0400;;
131113;0500;;
131113;0600;;
131113;0700;;
131113;0800;;
131113;0900;;
131113;1000;;
131113;1100;;
131113;1200;;
131113;1300;;
131113;1400;;
131113;1500;;
131113;1600;;
131113;1700;;
131113;1800;;
131113;1900;;
131113;2000;;
131113;2100;;
131113;2200;;
131113;2300;;
131114;0000;;
131114;0100;;
131114;0200;;
131114;0300;;
131114;0400;;
131114;0500;;
131114;0600;;
131114;0700;;
131114;0800;;
131114;0900;;
131114;1000;;
131114;1100;;
131114;1200;;
131114;1300;;
131114;1400;;
131114;1500;;
131114;1600;;
131114;1700;;
131114;1800;;
131114;1900;;
131114;2000;;
131114;2100;;
131114;2200;;
131114;2300;;
131115;0000;;
131115;0100;;
131115;0200;;
131115;0300;;
131115;0400;;
131115;0500;;
131115;0600;;
131115;0700;;
131115;0800;;
131115;0900;;
131115;1000;;
131115;1100;;
131115;1200;;
131115;1300;;
131115;1400;;
131115;1500;;
131115;1600;;
131115;1700;;
131115;1800;;
131115;1900;;
131115;2000;;
131115;2100;;
131115;2200;;
131115;2300;;
131116;0000;;
131116;0100;;
131116;0200;;
131116;0300;;
131116;0400;;
131116;0500;;
131116;0600;;
131116;0700;;
131116;0800;;
131116;0900;;
131116;1000;;
131116;1100;;
131116;1200;;
131116;1300;;
131116;1400;;
131116;1500;;
131116;1600;;
131116;1700;;
131116;1800;;
131116;1900;;
131116;2000;;
131116;2100;;
131116;2200;;
131116;2300;;
131117;0000;;
131117;0100;;
131117;0200;;
131117;0300;;
131117;0400;;
131117;0500;;
131117;0600;;
131117;0700;;
131117;0800;;
131117;0900;;
131117;1000;;
131117;1100;;
131117;1200;;
131117;1300;;
131117;1400;;
131117;1500;;
131117;1600;;
131117;1700;;
131117;1800;;
131117;1900;;
131117;2000;;
131117;2100;;
131117;2200;;
131117;2300;;
131118;0000;;
131118;0100;;
131118;0200;;
131118;0300;;
131118;0400;;
131118;0500;;
131118;0600;;
131118;0700;;
131118;0800;;
131118;0900;;
131118;1000;;
131118;1100;;
131118;1200;;
131118;1300;;
131118;1400;;
131118;1500;;
131118;1600;;
131118;1700;;
131118;1800;;
131118;1900;;
131118;2000;;
131118;2100;;
131118;2200;;
131118;2300;;
131119;0000;;
131119;0100;;
131119;0200;;
131119;0300;;
131119;0400;;
131119;0500;;
131119;0600;;
131119;0700;;
131119;0800;;
131119;0900;;
131119;1000;;
131119;1100;;
131119;1200;;
131119;1300;;
131119;1400;;
131119;1500;;
131119;1600;;
131119;1700;;
131119;1800;;
131119;1900;;
131119;2000;;
131119;2100;;
131119;2200;;
131119;2300;;
131120;0000;;
131120;0100;;
131120;0200;;
131120;0300;;
131120;0400;;
131120;0500;;
131120;0600;;
131120;0700;;
131120;0800;;
131120;0900;;
