FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
131021;0100;18;;;
131021;0200;15;;;
131021;0300;10;;;
131021;0400;9;;;
131021;0500;28;;;
131021;0600;40;;;
131021;0700;47;;;
131021;0800;38;;;
131021;0900;40;;;
131021;1000;35;;;
131021;1100;35;;;
131021;1200;37;;;
131021;1300;41;;;
131021;1400;33;;;
131021;1500;42;;;
131021;1600;42;;;
131021;1700;41;;;
131021;1800;61;;;
131021;1900;101;;;
131021;2000;80;;;
131021;2100;47;;;
131021;2200;36;;;
131021;2300;30;;;
131022;0000;25;;;
131022;0100;16;;;
131022;0200;11;;;
131022;0300;8;;;
131022;0400;8;;;
131022;0500;17;;;
131022;0600;48;;;
131022;0700;36;;;
131022;0800;35;;;
131022;0900;26;;;
131022;1000;32;;;
131022;1100;33;;;
131022;1200;32;;;
131022;1300;31;;;
131022;1400;29;;;
131022;1500;29;;;
131022;1600;30;;;
131022;1700;36;;;
131022;1800;54;;;
131022;1900;70;;;
131022;2000;98;;;
131022;2100;61;;;
131022;2200;59;;;
131022;2300;43;;;
131023;0000;42;;;
131023;0100;21;;;
131023;0200;26;;;
131023;0300;43;;;
131023;0400;38;;;
131023;0500;71;;;
